Title,Handle,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Status,Collection
Garlic Paruppu Podi,garlic-paruppu-podi,<p>Protein-rich dal podi enhanced with the bold flavor of roasted garlic. Double the nutrition with a punch of garlic goodness. Perfect for those who love a garlicky kick.</p><ul><li>Dal podi with roasted garlic</li><li>High protein content</li><li>Bold and flavorful</li></ul>,House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Spice Pastes & Curry Pastes,Podi,"podi, spice-powder, traditional, protein-rich, garlic, healthy, south-indian",TRUE,Weight,200g,,,,,HOK-PODI-011,200,shopify,100,deny,manual,160,190,TRUE,TRUE,,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=800,1,Garlic Paruppu Podi - Garlic Dal Powder,FALSE,Garlic Paruppu Podi | Garlic Dal Powder | House of Kumaran,Protein-rich Garlic Paruppu Podi with bold garlic flavor. High protein traditional South Indian condiment.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PODI-011,new,active,Podis
Rasam Podi,rasam-podi,"<p>A warming blend of black pepper, cumin, coriander, and other spices that makes the perfect rasam. Known for its digestive properties and comforting taste.</p><ul><li>Traditional temple recipe</li><li>Aids digestion</li><li>Perfect for cold weather</li></ul>",House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Spice Pastes & Curry Pastes,Podi,"podi, spice-powder, traditional, healthy, rasam, south-indian, digestive",TRUE,Weight,200g,,,,,HOK-PODI-012,150,shopify,100,deny,manual,120,140,TRUE,TRUE,,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=800,1,Rasam Podi - Traditional Rasam Spice Mix,FALSE,Rasam Podi | Authentic Rasam Powder | House of Kumaran,Traditional Rasam Podi with black pepper and cumin. Aids digestion and perfect for making authentic South Indian rasam. Temple recipe.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PODI-012,new,active,Podis
Garlic Podi,garlic-podi,<p>Bold and pungent garlic podi for garlic lovers. Roasted garlic cloves ground with lentils and spices create this flavorful condiment that adds depth to any meal.</p><ul><li>Made with premium roasted garlic</li><li>Bold and aromatic</li><li>Immunity boosting properties</li></ul>,House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Spice Pastes & Curry Pastes,Podi,"podi, spice-powder, traditional, garlic, healthy, immunity, bold-flavor",TRUE,Weight,200g,,,,,HOK-PODI-013,150,shopify,100,deny,manual,160,190,TRUE,TRUE,,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=800,1,Garlic Podi - Bold Garlic Powder,FALSE,Garlic Podi | Bold Garlic Spice Powder | House of Kumaran,Bold and aromatic Garlic Podi made with premium roasted garlic. Immunity boosting traditional South Indian recipe.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PODI-013,new,active,Podis
Bisibela Bath Podi,bisibela-bath-podi,<p>The authentic Karnataka spice blend for Bisibele Bath. Our special mix of spices creates that signature aromatic and flavorful one-pot rice dish.</p><ul><li>Authentic Karnataka recipe</li><li>Perfect spice blend for Bisibele Bath</li><li>Aromatic and flavorful</li></ul>,House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Spice Pastes & Curry Pastes,Podi,"podi, spice-powder, traditional, bisibela-bath, karnataka, one-pot, aromatic",TRUE,Weight,200g,,,,,HOK-PODI-014,200,shopify,100,deny,manual,150,180,TRUE,TRUE,,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=800,1,Bisibela Bath Podi - Karnataka Spice Mix,FALSE,Bisibela Bath Podi | Karnataka Spice Mix | House of Kumaran,Authentic Bisibela Bath Podi for the signature Karnataka rice dish. Aromatic and flavorful spice blend.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PODI-014,new,active,Podis
Madras Curry Amudhu Powder,madras-curry-powder,"<p>The classic Madras curry powder - a versatile spice blend that forms the base of countless South Indian curries. Rich, warm, and deeply aromatic.</p><ul><li>Classic Madras recipe</li><li>Versatile cooking essential</li><li>Warm and aromatic flavor</li></ul>",House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Spice Pastes & Curry Pastes,Podi,"podi, spice-powder, traditional, madras-curry, cooking-essential, versatile, aromatic",TRUE,Weight,200g,,,,,HOK-PODI-015,200,shopify,100,deny,manual,140,170,TRUE,TRUE,,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=800,1,Madras Curry Amudhu Powder - Classic Curry Spice,FALSE,Madras Curry Powder | Classic South Indian Spice | House of Kumaran,Classic Madras Curry Amudhu Powder for authentic South Indian curries. Versatile and deeply aromatic spice blend.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PODI-015,new,active,Podis
Kootu Podi,kootu-podi,"<p>Essential spice blend for making authentic South Indian Kootu. A balanced mix of coconut, coriander, and spices that gives Kootu its signature creamy texture and flavor.</p><ul><li>Perfect for Kootu preparation</li><li>Coconut and coriander based</li><li>Creamy and flavorful</li></ul>",House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Spice Pastes & Curry Pastes,Podi,"podi, spice-powder, traditional, kootu, cooking-essential, coconut, creamy",TRUE,Weight,200g,,,,,HOK-PODI-016,200,shopify,100,deny,manual,140,170,TRUE,TRUE,,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=800,1,Kootu Podi - South Indian Curry Spice Mix,FALSE,Kootu Podi | South Indian Curry Spice Mix | House of Kumaran,Authentic Kootu Podi for creamy South Indian vegetable curries. Coconut and coriander based traditional recipe.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PODI-016,new,active,Podis
Mango Thokku,mango-thokku,"<p>Tangy and spicy raw mango thokku made with select Totapuri mangoes, cold-pressed gingelly oil, and our secret spice blend. A versatile pickle that pairs with everything.</p><ul><li>Made with Totapuri mangoes</li><li>Cold-pressed gingelly oil</li><li>No artificial preservatives</li></ul>",House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Pickles,Pickle,"pickle, thokku, mango, traditional, bestseller, south-indian, spicy, tangy",TRUE,Weight,250g,,,,,HOK-PICKLE-001,300,shopify,100,deny,manual,199,220,TRUE,TRUE,,https://images.unsplash.com/photo-1589308454676-21993e33427d?w=800,1,Mango Thokku - Traditional Mango Pickle,FALSE,Mango Thokku | Authentic South Indian Mango Pickle | House of Kumaran,Tangy Mango Thokku made with Totapuri mangoes and cold-pressed gingelly oil. Traditional South Indian pickle with no preservatives.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PICKLE-001,new,active,Pickles & Thokku
Lemon Pickle,lemon-pickle,"<p>Zesty lemon pickle made with fresh lemons, mustard, and fenugreek. Aged to perfection for that authentic sour-spicy taste that complements any South Indian meal.</p><ul><li>Made with fresh lemons</li><li>Traditional aging process</li><li>Perfect balance of sour and spicy</li></ul>",House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Pickles,Pickle,"pickle, lemon, traditional, south-indian, sour, tangy, aged",TRUE,Weight,250g,,,,,HOK-PICKLE-002,300,shopify,100,deny,manual,180,200,TRUE,TRUE,,https://images.unsplash.com/photo-1589308454676-21993e33427d?w=800,1,Lemon Pickle - Traditional South Indian Style,FALSE,Lemon Pickle | Authentic South Indian Lemon Pickle | House of Kumaran,Zesty Lemon Pickle aged to perfection. Made with fresh lemons mustard and fenugreek. Traditional South Indian recipe.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PICKLE-002,new,active,Pickles & Thokku
Avakkai Pickle,avakkai-pickle,"<p>The king of Andhra pickles - Avakkai made with raw mangoes, red chili, mustard, and fenugreek. Bold, spicy, and absolutely addictive.</p><ul><li>Authentic Andhra recipe</li><li>Premium raw mangoes</li><li>Bold and spicy flavor</li></ul>",House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Pickles,Pickle,"pickle, avakkai, mango, andhra, spicy, traditional, new-arrival, bold",TRUE,Weight,250g,,,,,HOK-PICKLE-003,350,shopify,100,deny,manual,220,260,TRUE,TRUE,,https://images.unsplash.com/photo-1589308454676-21993e33427d?w=800,1,Avakkai Pickle - Authentic Andhra Mango Pickle,FALSE,Avakkai Pickle | Authentic Andhra Mango Pickle | House of Kumaran,Bold and spicy Avakkai Pickle made with authentic Andhra recipe. Premium raw mangoes with traditional spice blend.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PICKLE-003,new,active,Pickles & Thokku
Gongura Thokku,gongura-thokku,<p>Tangy gongura (sorrel leaves) thokku that's a staple in Andhra cuisine. Made with fresh gongura leaves and aromatic spices for that authentic taste.</p><ul><li>Fresh gongura leaves</li><li>Traditional Andhra preparation</li><li>Rich in vitamins</li></ul>,House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Pickles,Pickle,"pickle, thokku, gongura, andhra, tangy, traditional, healthy, vitamin-rich",TRUE,Weight,250g,,,,,HOK-PICKLE-004,250,shopify,100,deny,manual,190,220,TRUE,TRUE,,https://images.unsplash.com/photo-1589308454676-21993e33427d?w=800,1,Gongura Thokku - Andhra Sorrel Leaf Pickle,FALSE,Gongura Thokku | Andhra Sorrel Leaf Pickle | House of Kumaran,Tangy Gongura Thokku made with fresh sorrel leaves. Authentic Andhra recipe rich in vitamins. Traditional preparation.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PICKLE-004,new,active,Pickles & Thokku
Tomato Thokku,tomato-thokku,"<p>Sweet and tangy tomato thokku made with ripe tomatoes, gingelly oil, and aromatic spices. A versatile condiment that pairs with everything from rice to roti.</p><ul><li>Made with ripe tomatoes</li><li>Cold-pressed gingelly oil</li><li>Sweet-tangy flavor profile</li></ul>",House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Pickles,Pickle,"pickle, thokku, tomato, traditional, south-indian, versatile, tangy, sweet",TRUE,Weight,250g,,,,,HOK-PICKLE-005,300,shopify,100,deny,manual,180,200,TRUE,TRUE,,https://images.unsplash.com/photo-1589308454676-21993e33427d?w=800,1,Tomato Thokku - Sweet Tangy Tomato Pickle,FALSE,Tomato Thokku | Sweet Tangy Tomato Pickle | House of Kumaran,Delicious Tomato Thokku made with ripe tomatoes and gingelly oil. Versatile sweet-tangy condiment.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PICKLE-005,new,active,Pickles & Thokku
Karuvepillai Thokku,karuvepillai-thokku,"<p>Aromatic curry leaf thokku rich in iron and flavor. Made with fresh curry leaves, tamarind, and traditional spices. A healthy and flavorful condiment.</p><ul><li>Made with fresh curry leaves</li><li>Rich in iron</li><li>Traditional recipe</li></ul>",House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Pickles,Pickle,"pickle, thokku, karuvepillai, curry-leaves, traditional, healthy, iron-rich, aromatic",TRUE,Weight,250g,,,,,HOK-PICKLE-006,250,shopify,100,deny,manual,170,200,TRUE,TRUE,,https://images.unsplash.com/photo-1589308454676-21993e33427d?w=800,1,Karuvepillai Thokku - Curry Leaf Pickle,FALSE,Karuvepillai Thokku | Curry Leaf Pickle | House of Kumaran,Aromatic Karuvepillai Thokku rich in iron. Made with fresh curry leaves. Traditional healthy condiment.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PICKLE-006,new,active,Pickles & Thokku
Kadarangai Pickle,kadarangai-pickle,<p>Traditional citron pickle with a unique bitter-sour-spicy flavor profile. Made with sun-dried citron pieces and aromatic spices. A rare delicacy.</p><ul><li>Made with sun-dried citron</li><li>Unique bitter-sour-spicy taste</li><li>Traditional rare recipe</li></ul>,House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Pickles,Pickle,"pickle, kadarangai, citron, traditional, rare, unique, sun-dried, tangy",TRUE,Weight,250g,,,,,HOK-PICKLE-007,300,shopify,100,deny,manual,200,240,TRUE,TRUE,,https://images.unsplash.com/photo-1589308454676-21993e33427d?w=800,1,Kadarangai Pickle - Traditional Citron Pickle,FALSE,Kadarangai Pickle | Traditional Citron Pickle | House of Kumaran,Rare Kadarangai Pickle with unique bitter-sour-spicy flavor. Traditional sun-dried citron preparation.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PICKLE-007,new,active,Pickles & Thokku
Narthangai Pickle,narthangai-pickle,<p>Wild citron pickle with an intense sour flavor. This traditional pickle is known for its digestive properties and unique taste.</p><ul><li>Made with wild citron</li><li>Intensely sour and tangy</li><li>Aids digestion</li></ul>,House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Pickles,Pickle,"pickle, narthangai, wild-citron, traditional, sour, tangy, digestive",TRUE,Weight,250g,,,,,HOK-PICKLE-008,300,shopify,100,deny,manual,190,220,TRUE,TRUE,,https://images.unsplash.com/photo-1589308454676-21993e33427d?w=800,1,Narthangai Pickle - Wild Citron Pickle,FALSE,Narthangai Pickle | Wild Citron Pickle | House of Kumaran,Intense Narthangai Pickle made with wild citron. Sour and tangy with digestive benefits. Traditional recipe.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PICKLE-008,new,active,Pickles & Thokku
Perandai Pickle,perandai-pickle,"<p>Medicinal pickle made with Perandai (Veldt Grape). Known for its bone-strengthening properties, this unique pickle is both healthy and delicious.</p><ul><li>Made with Perandai (Veldt Grape)</li><li>Bone-strengthening properties</li><li>Traditional medicinal pickle</li></ul>",House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Pickles,Pickle,"pickle, perandai, veldt-grape, medicinal, healthy, bone-health, traditional, unique",TRUE,Weight,250g,,,,,HOK-PICKLE-009,250,shopify,100,deny,manual,180,210,TRUE,TRUE,,https://images.unsplash.com/photo-1589308454676-21993e33427d?w=800,1,Perandai Pickle - Medicinal Veldt Grape Pickle,FALSE,Perandai Pickle | Medicinal Veldt Grape Pickle | House of Kumaran,Healthy Perandai Pickle with bone-strengthening properties. Traditional medicinal preparation.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PICKLE-009,new,active,Pickles & Thokku
Garlic Pickle,garlic-pickle,<p>Bold and pungent garlic pickle for garlic lovers. Whole garlic cloves marinated in spices and oil. Known for immunity-boosting properties.</p><ul><li>Whole garlic cloves</li><li>Bold and pungent flavor</li><li>Immunity boosting</li></ul>,House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Pickles,Pickle,"pickle, garlic, pungent, traditional, immunity, bold-flavor, healthy",TRUE,Weight,250g,,,,,HOK-PICKLE-010,250,shopify,100,deny,manual,170,200,TRUE,TRUE,,https://images.unsplash.com/photo-1589308454676-21993e33427d?w=800,1,Garlic Pickle - Bold Garlic Pickle,FALSE,Garlic Pickle | Bold Garlic Pickle | House of Kumaran,Bold Garlic Pickle with whole garlic cloves. Immunity boosting traditional recipe.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-PICKLE-010,new,active,Pickles & Thokku
Mysur Pak,mysur-pak,"<p>The legendary Mysore Pak made with pure ghee, besan, and sugar. Soft, melt-in-mouth texture that's been perfected over generations. A royal sweet from Karnataka.</p><ul><li>Made with pure cow ghee</li><li>Traditional Mysore recipe</li><li>Soft melt-in-mouth texture</li></ul>",House of Kumaran,Food & Beverages > Food Items > Confectionery,Sweet,"sweet, mysore-pak, traditional, bestseller, ghee, karnataka, royal, festival",TRUE,Weight,250g,,,,,HOK-SWEET-001,250,shopify,50,deny,manual,299,350,TRUE,TRUE,,https://images.unsplash.com/photo-1606312619070-d48b4c652a52?w=800,1,Mysore Pak - Traditional Ghee Sweet,FALSE,Mysore Pak | Authentic Karnataka Sweet | House of Kumaran,Legendary Mysore Pak made with pure cow ghee. Soft melt-in-mouth texture. Traditional Karnataka royal sweet recipe.,Food Beverages & Tobacco > Food Items > Confectionery,Unisex,Adult,HOK-SWEET-001,new,active,Sweets
